Experiment,B_Ramp_Angle,B_Diffusor_Angle,B_Trunklid_Angle,C_Side_Mirrors_Rotation,D_Rear_Window_Inclination,D_Winscreen_Inclination,C_Side_Mirrors_Translate_X,C_Side_Mirrors_Translate_Z,D_Winscreen_Length,D_Rear_Window_Length,E_A_B_C_Pillar_Thickness,G_Trunklid_Curvature,G_Trunklid_Length,H_Front_Bumper_Curvature,H_Front_Bumper_Length,F_Door_Handles_Thickness,F_Door_Handles_Z_Position,E_Fenders_Arch_Offset,A_Car_Length,F_Door_Handles_X_Position,A_Car_Width,A_Car_Roof_Height,A_Car_Green_House_Angle,Average Cd,Std Cd,Average Cl,Std Cl,Average Cl_f,Std Cl_f,Average Cl_r,Std Cl_r
E_S_WWC_WM_029,12.9335,8.96239,5.49599,17.6739,0.15,2.45,3.92436,2.1444,43.0641,142.531,4.43019,0.2,12.7643,0.4,-14.3892,-6.82119,-13.0547,46.9327,13.244,-19.0137,18.919,15.1001,41.3324,0.286701057,0.00717694,-0.120997354,0.027057065,-0.055093534,0.009620602,-0.06590382,0.02325377
E_S_WWC_WM_030,-1.57663,-2.75033,11.7988,10.1903,-1.53,1.81,-2.58923,-3.94171,-41.4857,-86.1915,-1.31163,0.3,-18.4758,0,43.6951,-0.32454,0.11858,41.5112,-31.6822,31.8473,33.2896,65.6668,-73.3159,0.25108084,0.006159489,-0.039498846,0.019458074,-0.145474175,0.011849667,0.105975329,0.021726648
E_S_WWC_WM_031,3.81305,-1.79022,8.72984,11.2146,1.77,-1,-4.26541,-3.63749,-29.0722,79.7044,1.89421,0.3,-21.1367,-0.1,-13.3246,-8.22371,19.9466,-22.0445,129.134,41.853,55.4154,-10.7594,-24.089,0.25080277,0.005505345,-0.161624848,0.024635811,-0.108721973,0.009791264,-0.052902875,0.021362083
E_S_WWC_WM_032,11.1432,6.26811,7.28715,5.32752,0.58,1.68,-1.5856,-1.60328,-38.5537,85.767,-13.5788,0.2,-18.8025,0.7,-12.8077,-7.88592,13.2515,33.7888,26.3825,36.3101,-50.379,-47.325,-69.2458,0.290188691,0.006568498,-0.122381705,0.019634616,-0.047743697,0.010175424,-0.074638008,0.023416053
E_S_WWC_WM_033,1.8435,10.6631,-2.94028,16.3777,0.41,1.33,8.10745,4.16714,4.18956,144.769,-7.92863,0.7,6.88863,-0.3,39.8712,11.6582,-19.5982,-1.13637,67.9503,43.2338,85.6384,17.8351,-191.452,0.290688013,0.006138634,-0.211931104,0.028482831,-0.124108114,0.012915597,-0.08782299,0.026783941
E_S_WWC_WM_034,1.36342,-7.61369,11.5818,16.8202,-1.15,2.17,15.6385,2.42196,-25.7963,-28.8691,-5.94068,0.4,17.1042,0.1,-7.21598,22.4881,24.3591,-11.6597,116.992,20.3957,-18.7895,-41.9721,33.2938,0.251967629,0.006760016,0.000451374,0.012599605,-0.108521228,0.010339211,0.108972602,0.009029493
E_S_WWC_WM_035,2.95889,13.4543,19.5827,-0.305176,-0.68,-0.63,-1.52171,7.36683,-24.6629,-11.2609,-4.90479,0.3,-24.0775,0,22.2016,-6.99006,-3.55027,17.6741,126.329,43.8277,39.1891,57.9219,121.918,0.275340911,0.005739557,-0.05603679,0.014814953,-0.115082808,0.006356174,0.059046018,0.011427227
E_S_WWC_WM_036,4.04673,-1.2177,-6.75451,-2.77402,0.35,-0.13,-7.45434,0.219354,7.84573,109.751,-4.2957,-0.4,-7.20645,0.4,7.98313,18.2027,-10.41,-2.7223,37.5586,11.6634,94.173,67.1766,143.872,0.276215228,0.005623853,-0.239113134,0.035882914,-0.139433238,0.011380094,-0.099679896,0.029893731
E_S_WWC_WM_037,2.6654,10.373,1.41006,16.9873,0.99,-1.44,-9.34656,-3.08404,16.6036,-80.1042,0.421409,0,1.58647,0.5,33.4087,-13.8866,-16.3239,10.445,56.3836,-6.3394,116.304,88.1792,-179.803,0.26549695,0.009309668,-0.017245431,0.035350854,-0.111332071,0.011998828,0.09408664,0.036970801
E_S_WWC_WM_038,14.3719,3.99311,7.06808,-4.03165,0.01,1.47,-7.18599,0.754837,41.0307,-84.3797,-14.4357,0.2,-15.3478,-0.2,-0.0869685,-16.7486,-13.3455,-17.6351,89.1562,-22.4399,41.0008,63.0411,53.4,0.264768555,0.008548021,-0.112517606,0.025272088,-0.06181427,0.010813855,-0.050703336,0.02514521
E_S_WWC_WM_039,2.72894,2.04421,-0.724237,1.3463,-1.22,-0.69,0.903987,2.71796,-26.5129,30.1667,2.94954,0.8,9.36839,0.1,42.3273,29.7907,24.2171,-3.17335,109.759,28.4732,-1.97849,68.9509,92.6275,0.248093535,0.005681075,-0.165588798,0.015680559,-0.127973447,0.007682829,-0.037615351,0.017083293
E_S_WWC_WM_040,11.3192,-3.5626,5.08488,-18.6151,-1.77,1.5,-2.86282,3.92401,-8.10225,73.4475,-8.03779,0.5,-1.6228,0.9,28.13,-19.9608,-5.11105,36.2583,114.399,-4.92039,83.4428,39.1905,136.714,0.260805721,0.00780696,-0.179413609,0.018158121,-0.101665097,0.008208786,-0.077748512,0.017834939
E_S_WWC_WM_041,3.94595,6.08096,14.1943,3.51466,2,-0.89,-9.96959,-0.812788,19.5231,-13.5135,-13.6464,0.2,13.0695,0.1,47.3756,-5.64847,27.2336,23.0463,106.746,22.6932,95.8385,31.1652,118.253,0.280025369,0.005379634,-0.068070831,0.01820899,-0.12677352,0.007469827,0.058702689,0.017435633
E_S_WWC_WM_042,10.5997,-6.76392,11.9785,6.48823,1.95,-1.69,11.8859,7.93556,33.1547,22.9067,1.82854,0.5,0.529597,0.4,-17.1111,23.9532,-6.66621,-6.51723,65.5835,36.9325,34.3398,-1.10282,95.0328,0.2480119,0.003270696,-0.013385978,0.023813461,-0.075596912,0.00966695,0.062210934,0.02156174
E_S_WWC_WM_043,0.663193,7.45066,11.4032,2.03442,-1.49,-0.11,-2.50209,4.55267,-35.3988,59.2556,4.97848,0.1,-6.01359,1,24.3726,-11.657,10.4637,-15.046,32.8735,3.96813,149.036,73.8565,5.89736,0.257864996,0.004636456,-0.171353751,0.028551905,-0.145248641,0.009350155,-0.02610511,0.024920317
E_S_WWC_WM_044,14.9612,7.9281,11.9546,9.06811,1.79,1.03,13.9392,4.29414,-28.5944,9.11563,-10.9403,-0.4,-1.09465,-0.1,34.8682,21.0826,-2.06747,-8.5401,-59.2583,-41.8928,87.9634,72.913,111.681,0.282385918,0.006625221,-0.098300306,0.035251605,-0.069606142,0.008674857,-0.028694165,0.033941076
E_S_WWC_WM_045,-1.54275,8.26849,18.2613,-12.4759,-1.19,-0.61,7.41279,-4.74297,-35.9328,10.2517,-12.7692,-0.3,-13.7375,-0.1,31.9796,-6.21809,-27.3962,49.9202,-28.0778,-1.04761,-23.4102,6.48645,-1.24425,0.30743683,0.011405189,-0.100117927,0.023686593,-0.12219281,0.015361105,0.022074883,0.024070421
E_S_WWC_WM_046,0.0703992,-1.65459,7.3471,5.6013,0.92,-1.59,-8.94106,7.38831,-38.2635,44.7179,-2.49146,0.8,3.00708,0.8,49.3001,16.154,24.2956,10.1017,-37.1721,-20.753,112.593,19.1285,76.8045,0.24988123,0.006112485,-0.199807366,0.015051029,-0.154990429,0.008713492,-0.044816937,0.014070561
E_S_WWC_WM_047,10.586,-3.06863,6.85358,-18.4379,-1.18,-1.54,0.172799,7.72743,-9.71761,-89.8343,-5.13467,0.4,6.1631,0.1,-12.6768,21.9867,18.1287,14.9076,18.866,21.4672,98.16,-17.9835,-151.397,0.244706261,0.006623534,-0.095184508,0.030591856,-0.082756637,0.009119455,-0.012427871,0.033269645
E_S_WWC_WM_048,13.1353,-3.17759,-3.62932,-10.8834,-1.4,0.53,-1.05702,0.906423,-8.4606,99.4931,2.9379,0,4.65805,0.9,59.0362,20.1422,23.6412,-10.129,-26.6007,1.80785,68.4703,28.1708,-110.053,0.256500514,0.004786823,-0.195607217,0.028503573,-0.082458131,0.010717164,-0.113149086,0.023522898
E_S_WWC_WM_049,-6.47263,-2.27331,-4.8019,9.51063,0.02,1.31,-4.53625,2.92604,-11.8498,46.1676,1.74299,0,-22.2846,-0.4,9.76643,2.4151,26.1902,-4.40516,103.569,-12.8859,143.377,35.5504,81.3644,0.259433635,0.006006646,-0.201954017,0.017625648,-0.223569757,0.007773285,0.02161574,0.015477796
E_S_WWC_WM_050,13.1866,6.86028,-7.15801,-15.4808,-0.03,0.27,8.00245,-1.61839,-45.7607,-28.51,-12.5634,0.1,-2.53864,0.4,32.711,-1.30711,-10.7582,-24.9415,-9.08559,-27.62,142.257,25.6693,126.022,0.263022042,0.011237101,-0.217332106,0.034108341,-0.09460357,0.009686598,-0.122728537,0.027388498
E_S_WWC_WM_051,4.01519,-5.17871,9.9764,14.6998,0.75,-1.12,-7.25578,6.66055,14.937,56.5993,-3.55548,-0.4,-14.0758,0.8,23.2965,11.1949,-26.2913,-17.0343,55.5281,28.2908,39.3032,-48.7666,-75.2615,0.237771979,0.004340468,-0.078501787,0.026767262,-0.068963168,0.010918008,-0.009538619,0.024036999
E_S_WWC_WM_052,-7.3255,13.7218,-0.10001,12.7009,-0.36,-1.73,11.9752,-2.93264,-39.5568,-62.4354,-5.47794,0.2,1.67228,0.4,22.2709,23.3945,-9.44041,36.2512,42.9624,-32.4435,99.9447,33.379,40.6988,0.292758633,0.005563842,-0.134457166,0.052159911,-0.197136217,0.00968434,0.062679051,0.045299896
E_S_WWC_WM_053,-3.64647,12.2774,17.5403,-10.1617,-0.27,1.76,0.0795703,5.46766,-46.3118,-20.174,-10.4429,-0.1,7.02043,1,14.9939,0.220742,-9.06121,-0.262679,-25.0496,-45.638,90.2659,23.4909,-123.175,0.26856287,0.009173418,-0.251554135,0.02604115,-0.190067948,0.008094939,-0.061486187,0.03066198
E_S_WWC_WM_054,7.23519,5.00815,5.29618,15.6346,2.35,-1.2,9.60067,-1.66975,45.725,130.283,-6.03981,0.5,21.5184,0.8,0.114685,-6.0692,-5.34398,4.68908,46.7184,1.38409,-16.0296,-6.36975,-183.844,0.27738077,0.006382986,-0.177628178,0.018175562,-0.069791043,0.010321021,-0.107837134,0.016871734
E_S_WWC_WM_055,12.4013,-0.50122,12.74,-13.594,0.63,-1.79,-2.78322,-4.89761,16.9014,-46.6596,-6.16182,-0.1,18.6064,-0.2,18.3195,-8.04703,-29.8139,30.1461,94.8608,-13.2493,37.9308,13.4241,58.1358,0.250866896,0.007432294,-0.107253349,0.025438212,-0.067712497,0.008728345,-0.039540851,0.021864794
E_S_WWC_WM_056,-6.24734,7.41232,12.3098,16.6153,1.87,2.26,-9.07096,6.85233,1.71822,37.4139,-13.1425,0,17.5322,0,12.3103,10.3053,18.2868,9.87419,-46.2112,-21.0715,86.0909,-10.1085,99.8328,0.287183694,0.005615907,-0.262852647,0.021656645,-0.241372587,0.005667396,-0.02148006,0.019093468
E_S_WWC_WM_057,-6.59056,4.15602,19.7971,7.56929,1.23,-1.27,2.69672,1.44711,46.2466,-35.3888,-9.27697,0,-11.2729,0.3,42.0806,-13.5381,-22.835,0.364613,-8.95169,14.6786,47.1837,9.03106,31.1657,0.264496827,0.009899064,-0.204750846,0.019387403,-0.201775217,0.010846827,-0.00297563,0.016019496
E_S_WWC_WM_058,-6.11757,6.30253,17.3038,-0.378287,0.7,-1.36,18.1307,4.59013,-10.1092,-94.2002,0.642532,0.4,13.7363,0,6.3967,-12.4803,1.98219,50.8957,59.1773,-24.3542,149.105,25.7586,62.9305,0.275127227,0.008406292,-0.032359201,0.024277899,-0.20190878,0.01162997,0.169549579,0.024106915
E_S_WWC_WM_059,-0.357469,14.6727,5.76662,-3.63019,-0.81,-0.01,9.15566,4.4852,-43.0258,76.493,2.64218,0.2,-5.88143,0,-15.3336,7.1754,19.3879,31.6547,44.44,-47.0876,82.6484,-41.0648,115.332,0.29677657,0.002763434,-0.068586465,0.011493633,-0.117736691,0.003916445,0.049150226,0.013555891
E_S_WWC_WM_060,-6.56367,2.10049,5.86238,15.3968,-0.98,-0.45,14.6135,-1.01507,16.5428,-12.7665,-8.88751,0.6,21.9739,0.2,53.4411,0.465897,25.9499,30.68,101.178,-44.4566,10.3986,60.6053,-81.1225,0.258947026,0.005252468,-0.202024135,0.020499163,-0.201244243,0.00774218,-0.000779892,0.015106633
E_S_WWC_WM_061,-2.52446,6.54768,-6.79629,-8.21326,0.72,2.29,7.12814,5.32154,-5.2707,43.7109,-0.158323,0.7,-20.8346,0.9,-5.0717,7.33804,26.2357,38.2728,94.062,-14.486,41.3639,-13.7097,-131.571,0.29595732,0.011886456,-0.212224485,0.050639302,-0.131504588,0.00762121,-0.080719897,0.054016684
E_S_WWC_WM_062,14.8888,4.22421,-6.35709,-9.32652,-1.33,0.56,16.0711,5.42122,-17.0587,58.3152,-7.85074,0.3,-2.58788,-0.3,-21.4003,13.2993,-25.3382,27.0356,43.3021,44.6226,44.9152,1.65151,-18.2927,0.274605038,0.008255046,-0.103228621,0.032701056,-0.051005528,0.008612712,-0.052223094,0.032087809
E_S_WWC_WM_063,12.6839,13.3778,3.06457,0.627791,1.36,1.95,-0.733007,2.59004,27.5606,-73.321,-8.51475,0,-24.464,-0.4,-19.6094,15.4381,-1.78252,32.4885,20.4083,23.5325,98.627,72.8517,-23.0121,0.281032873,0.007186893,-0.027395615,0.048017272,-0.090853462,0.012291096,0.063457847,0.042593268
E_S_WWC_WM_064,11.485,8.1871,-0.156867,-11.5463,-0.93,1.87,14.0106,-0.66019,49.5735,97.251,-13.8515,0.7,-6.80451,0,38.2047,-11.2895,23.0647,-21.2877,44.8577,-19.1987,79.9161,42.4568,-77.8813,0.279155435,0.006872817,-0.196922973,0.014677937,-0.079106253,0.010454423,-0.117816721,0.01789819
E_S_WWC_WM_065,-2.21213,6.16382,4.15309,-7.50774,-0.8,-0.48,-4.76959,6.99778,2.80278,-89.0215,1.07315,-0.3,-24.929,0.8,2.24076,18.1055,-18.5878,43.1085,40.7519,18.2405,50.4784,21.5445,-193.562,0.279314079,0.018179647,-0.124874309,0.015180116,-0.156818537,0.008029836,0.031944228,0.014923898
E_S_WWC_WM_066,4.51894,10.9343,-7.47713,-9.2503,0.19,2.22,11.2614,-0.698839,-45.3066,-49.1283,2.97433,0.7,-19.5915,0.1,35.9741,24.5449,20.2293,1.68866,-11.5411,0.604939,58.5519,21.3611,-11.5565,0.249242871,0.00568954,-0.095593661,0.02658314,-0.095675308,0.01425452,8.16E-05,0.016086874
E_S_WWC_WM_067,3.13035,13.9033,8.97893,2.56593,0.45,-1.06,-5.37821,3.33305,5.65822,133.231,-2.16327,0.7,15.4891,0.7,-1.2304,26.9475,3.11821,22.3623,123.199,36.0278,112.34,-46.073,-84.0097,0.286674325,0.009584236,-0.181857064,0.020935801,-0.103396127,0.012757444,-0.078460937,0.01603892
E_S_WWC_WM_068,9.87846,8.05626,2.21081,0.639528,1.62,-0.03,-1.48428,-0.877639,-49.193,-50.1428,-5.32869,0.2,14.2774,0.3,59.3543,27.3883,-3.12102,-1.9036,-45.6924,-49.9954,55.6087,19.2952,-118.633,0.253842067,0.006860654,-0.153356001,0.034798924,-0.102821475,0.013764814,-0.050534527,0.031115005
E_S_WWC_WM_069,2.03537,-1.27814,5.07765,3.97372,-0.08,1.27,10.1716,-0.242565,38.0219,-38.8581,4.37208,0,-11.5868,0.3,50.8495,27.7962,14.584,10.2101,-57.7769,32.5931,126.936,-17.4389,147.641,0.235950241,0.004290081,-0.117694823,0.020320415,-0.12720984,0.011347881,0.009515017,0.013779055
E_S_WWC_WM_070,8.72771,0.386117,-4.72255,3.60531,-0.35,-0.82,7.66716,-2.91352,33.0237,-19.3397,-7.65598,0.8,22.8683,-0.2,-24.9286,26.8499,-13.5425,37.8178,96.3386,24.4549,-7.63838,2.94371,-152.187,0.267694025,0.005435867,-0.138051919,0.01634958,-0.078996885,0.009764684,-0.059055034,0.011598724
E_S_WWC_WM_071,4.25003,-7.55522,7.46641,-4.67531,1.72,-0.06,10.0909,9.02932,-4.0351,-77.7737,-1.01156,0.6,15.1071,0.5,46.9526,14.8579,19.365,-19.0879,107.733,-3.15975,-31.7377,-44.6455,-109.202,0.254547725,0.007332242,0.06145958,0.018662482,-0.066649783,0.012616869,0.128109363,0.011212094
E_S_WWC_WM_072,13.6084,-7.41645,0.0805201,-11.3502,-0.42,-1.51,11.9995,7.67686,17.8542,66.1305,-11.68,0.8,3.67481,0.4,22.7503,-15.413,9.21934,51.0981,-1.62809,4.7092,123.629,75.5029,54.7768,0.274466574,0.004914306,-0.129416035,0.023251059,-0.086949757,0.010359512,-0.042466278,0.019794709
E_S_WWC_WM_073,2.01438,-7.32506,5.55751,-13.2253,0.3,-1.47,4.87846,-2.87182,-35.1851,28.5261,-6.08725,0.5,-23.229,-0.4,-19.9655,15.7432,1.18185,-1.78316,96.9013,15.2236,81.848,54.518,-195.349,0.254700827,0.004109393,-0.072856009,0.016965733,-0.144614422,0.006437555,0.071758413,0.014823564
E_S_WWC_WM_074,-3.46887,6.25249,-1.94452,8.47689,1.3,0.99,14.5273,2.53469,10.4233,113.506,-3.05542,0,5.73974,0.2,-24.3128,28.2051,6.51221,42.2534,83.2855,-11.7011,121.367,88.5682,135.814,0.299630332,0.006629247,-0.181834264,0.017815583,-0.195007794,0.003851051,0.01317353,0.017753232
E_S_WWC_WM_075,13.364,11.8674,14.343,15.5196,-0.78,1.33,9.54025,6.6148,31.6496,113.997,-8.91446,-0.3,-5.66098,0.9,19.0981,0.144484,29.7656,1.83801,0.4319,19.8305,-0.329092,82.4501,-13.5497,0.284499325,0.009915055,-0.144194633,0.022927482,-0.062172886,0.010197461,-0.082021747,0.022465964
E_S_WWC_WM_076,6.98398,8.41772,-6.37973,-7.61462,0.39,0.44,16.9043,7.85563,-42.583,74.4945,-6.50598,0.6,-10.5228,-0.3,38.5593,-17.8447,-8.36349,-14.9002,120.504,-39.6603,125.481,-19.9316,-111.395,0.280294243,0.008631362,-0.246189424,0.0348961,-0.079953703,0.013316686,-0.166235721,0.03412368
E_S_WWC_WM_077,-1.52524,-6.94967,14.4003,-12.0162,-1.09,1.52,17.1326,1.49856,29.6766,-19.5455,-8.68466,-0.1,-17.9867,0,-15.1129,4.5303,3.07641,24.2571,90.3981,-8.20921,146.432,82.0547,-156.493,0.259171477,0.004195091,-0.075810557,0.021942351,-0.163721173,0.006648467,0.087910616,0.024128731
